0 0.593792
10 0.593792
20 0.593792
30 0.593792
40 0.593792
50 0.593792
60 0.593792
70 0.593792
80 0.593792
90 0.593792
100 0.593792
110 0.593792
120 0.593792
130 0.593792
140 0.593792
150 0.593792
160 0.593792
170 0.593792
180 0.593792
190 0.593792
200 0.593792
210 0.593792
220 0.593792
230 0.593792
240 0.593792
250 0.593792
260 0.593792
270 0.593792
280 0.593792
290 0.593792
300 0.593792
310 0.593792
320 0.593792
330 0.593792
340 0.593792
350 0.593792
360 0.593792
370 0.593792
380 0.593792
390 0.593792
400 0.593792
410 0.593792
420 0.593792
430 0.593792
440 0.593792
450 0.593792
460 0.593792
470 0.593792
480 0.593792
490 0.593792
500 0.593792
510 0.593792
520 0.593792
530 0.593792
540 0.593792
