0 -0.054820
10 -29.391722
20 -1639.918365
30 -3058.301647
40 -5222.731932
50 -6665.685455
60 -7696.366543
70 -10304.939134
80 -12333.828927
90 -16736.951904
100 -20339.507067
110 -23341.636370
120 -26968.767455
130 -30646.652122
140 -33834.152166
150 -36623.214705
160 -39084.152240
170 -41271.652270
180 -43228.889140
190 -44990.402322
200 -46584.152345
210 -48033.016001
220 -49355.891514
230 -50568.527400
240 -51684.152416
250 -52713.960123
260 -53667.485777
270 -54552.902456
280 -55377.255916
290 -56146.652478
300 -56911.949618
310 -57629.415686
320 -58303.398962
330 -58937.736163
340 -59535.825523
350 -60100.687698
360 -60635.016781
370 -61141.223282
380 -61621.470474
390 -62077.705307
400 -62511.684783
410 -62924.998569
420 -63319.088458
430 -63695.265170
440 -64054.722917
450 -64398.552067
460 -64727.750189
470 -65043.231722
480 -65363.647314
490 -65936.806527
500 -66487.488909
510 -67016.991199
520 -67526.512270
530 -68017.162191
540 -68509.785779
